month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
11,30,31.9,26.964285714285705,27.714285714285715,928.1071428571428,60.07142857142857,4.078571428571429,662.7857142857143,101.78571428571428,591.4285714285714
5,5,24.466666666666665,22.95,41.333333333333336,936.6333333333336,67.66666666666667,2.858333333333333,604.6666666666666,90.33333333333331,475.5833333333333
7,25,20.216666666666665,14.25,43.91666666666666,938.7666666666668,71.66666666666667,2.883333333333333,579.4166666666666,86.08333333333333,443.8333333333333
12,11,27.53571428571429,41.37142857142857,62.642857142857146,928.6928571428572,97.21428571428572,2.0571428571428574,380.4285714285714,189.78571428571428,517.6428571428571
5,28,20.625,10.45,40.5,935.875,126.16666666666669,1.9416666666666669,704.4166666666666,57.41666666666666,456.0833333333333
7,6,21.675,13.125,43.41666666666666,935.4833333333332,134.25,1.8083333333333331,638.8333333333334,72.66666666666667,429.3333333333333
1,6,27.08571428571429,44.85,66.92857142857143,927.2,103.5,1.9,464.3571428571428,188.64285714285717,531.0
8,30,27.925,19.641666666666666,31.666666666666668,931.4166666666666,54.333333333333336,4.725,440.1666666666667,185.16666666666663,493.3333333333333
7,23,19.016666666666666,14.375,45.16666666666666,937.9916666666668,71.25,2.4083333333333337,395.1666666666667,150.25,394.25
12,27,27.878571428571423,34.69285714285714,60.07142857142857,929.7857142857144,48.35714285714285,3.664285714285714,556.2142857142857,151.57142857142858,555.5
6,13,19.95,15.133333333333333,30.666666666666668,938.75,124.25,2.425,285.1666666666667,173.5,329.1666666666667
2,25,20.584615384615383,49.13846153846154,83.84615384615384,932.0384615384615,119.07692307692308,0.7538461538461539,10.846153846153848,219.92307692307693,222.15384615384616
6,28,22.525,13.566666666666665,36.91666666666666,935.7666666666668,125.08333333333331,2.2333333333333334,633.25,70.5,423.0833333333333
10,2,25.26923076923077,23.461538461538467,48.15384615384615,933.6,107.15384615384616,2.907692307692308,368.0,225.7692307692308,508.46153846153845
4,11,24.34166666666667,36.59166666666666,61.833333333333336,934.7333333333332,49.083333333333336,3.25,374.8333333333333,186.58333333333331,472.9166666666667
11,8,34.55,22.92142857142857,19.428571428571427,928.7785714285716,53.42857142857143,4.357142857142858,508.07142857142856,163.35714285714286,556.5
7,9,21.383333333333336,18.53333333333333,52.5,935.8166666666668,53.41666666666666,3.708333333333334,539.0,93.16666666666669,415.6666666666667
11,12,28.62142857142857,42.63571428571429,48.142857142857146,926.5642857142856,192.7142857142857,2.4214285714285717,197.42857142857144,274.1428571428572,442.8571428571428
3,26,30.72307692307692,27.59230769230769,40.84615384615385,915.5923076923076,69.3076923076923,2.823076923076923,662.1538461538462,92.92307692307692,542.5384615384615
9,21,26.584615384615383,10.669230769230769,27.615384615384617,932.5846153846154,60.53846153846154,3.392307692307692,532.3076923076923,160.69230769230768,538.4615384615385
